Term,Category,Reasoning,NLD
Thermal Subsidence,Geological Process,"The NLD explicitly defines the term as a 'processo' (process) of tectonic subsidence resulting from cooling and contraction, which modifies the lithosphere.","Subsidência térmica é um processo de subsidência tectônica que resulta do resfriamento, contração e consequente aumento de densidade da litosfera previamente aquecida e afinada durante a fase rifte. Este mecanismo é o principal responsável pela criação do espaço de acomodação durante a fase de ""sag"" pós-rifte nas bacias do pré-sal brasileiro. Ele controla a deposição da espessa sequência sedimentar que inclui a camada de sal aptiana e as seções geradoras e reservatórios do pós-sal."
Rift Initiation,Geological Process,"The NLD defines the term as an 'initial tectonic phase of a continental rifting process' that establishes a structural framework, which is a type of geological process.","Iniciação do Rifte é a fase tectônica inicial de um processo de rifteamento continental que, através de falhamento extensional, estabelece o arcabouço estrutural de horsts e grabens. Esta fase cria o espaço de acomodação fundamental que, no contexto do Pré-Sal brasileiro, permitiu a deposição das rochas geradoras e reservatórios do sistema petrolífero lacustre."
Rift Climax,Geological Process,"The NLD defines this term as a tectono-sedimentary phase characterized by dynamic actions like crustal extension, subsidence, and deposition.",Clímax Rifte é a fase tectono-sedimentar de uma bacia rifte que é caracterizada pela máxima taxa de extensão crustal e subsidência. Esta fase gera o principal espaço de acomodação e a compartimentação estrutural que controlam a deposição e a distribuição das rochas geradoras e dos reservatórios carbonáticos do pré-sal.
Post-Rift Subsidence,Geological Process,"The NLD explicitly defines the term as a 'tectono-sedimentary process' of crustal sinking that generates a basin, which is a direct match for the Geological Process category.","Subsidência Pós-Rifte é um processo tectono-sedimentar de afundamento da crosta que ocorre após a cessação do rifteamento ativo, sendo impulsionado principalmente pelo resfriamento e contração isostática da litosfera previamente aquecida e afinada. Este mecanismo gera uma subsidência regional de longo comprimento de onda, formando a ampla bacia do tipo sag onde foram depositados os reservatórios carbonáticos e a seção salífera do Pré-Sal brasileiro."
Magmatism,Geological Process,"The NLD explicitly defines the term as a 'set of geological processes' involving the generation, ascent, and positioning of magma.","Magmatismo é um conjunto de processos geológicos que envolve a geração, ascensão e posicionamento de magma, resultando na formação de corpos ígneos. No contexto do Pré-Sal brasileiro, este processo manifesta-se tanto por derrames vulcânicos que compõem o embasamento econômico quanto por intrusões posteriores que seccionam a coluna sedimentar. A sua ocorrência influencia diretamente a maturação da rocha geradora, a qualidade dos reservatórios carbonáticos e a configuração estrutural das trapas."
Volcanism,Geological Process,The NLD explicitly defines the term as a 'set of geological processes' that results in magma extrusion and the formation of igneous rocks.,"Vulcanismo é o conjunto de processos geológicos, associado à ruptura continental que deu origem ao Oceano Atlântico Sul, que resulta na extrusão de magma e na formação de rochas ígneas. No contexto do pré-sal brasileiro, este fenômeno é predominantemente representado por extensos derrames de rochas basálticas de idade Aptiana. Essas rochas vulcânicas frequentemente constituem o embasamento sobre o qual se depositaram os reservatórios carbonáticos da seção sag."
Intrusion,Geological Object,"The NLD defines an intrusion as a 'body of igneous rock', which is a rigid entity with its own identity and unity criteria, formed by a geological process.","Uma intrusão é um corpo de rocha ígnea, de composição predominantemente máfica, que se aloja no interior da sucessão sedimentar pré-sal através da injeção e posterior solidificação de magma. Sua presença impacta o sistema petrolífero ao alterar o fluxo de calor, influenciando a maturação da rocha geradora, e ao modificar as propriedades do reservatório por metamorfismo de contato ou pela geração de fraturas. Adicionalmente, pode atuar como uma barreira que compartimentaliza o reservatório ou como uma zona de fraqueza que foca a migração de fluidos."
Extrusion,Geological Process,The NLD explicitly defines the term as a 'halokinetic process' characterized by the movement (ascent and flow) of a salt body that modifies other geological objects.,"Extrusão é um processo halocinético que se caracteriza pela ascensão de um corpo salino que perfura as camadas sedimentares sobrejacentes e flui lateralmente sobre o paleofundo marinho. Este mecanismo resulta na formação de feições salinas alóctones, como lençóis de sal, que constituem selos regionais cruciais para as acumulações do Pré-Sal."
Dike,Geological Object,"The NLD describes a dike as a distinct igneous body ('intrusão', 'corpos') formed by a geological process, which fits the definition of a Geological Object.","Dique é uma intrusão ígnea tabular que corta discordantemente as rochas encaixantes, como os carbonatos do pré-sal, ao preencher uma fratura preexistente. No contexto brasileiro, estes corpos são predominantemente de composição básica, associados ao magmatismo da fase rifte que deu origem ao Oceano Atlântico Sul. Sua presença pode atuar como uma barreira ao fluxo de fluidos, compartimentando os reservatórios, ou alterar as propriedades petrofísicas das rochas adjacentes."
Sill,Geological Object,"The NLD defines a sill as an 'intrusive igneous body,' which aligns with the definition of a Geological Object as a rigid entity with identity and unity, generated by a geological process.","Sill é um corpo ígneo intrusivo de geometria tabular que se aloja de forma concordante com o acamamento das rochas encaixantes e que, no sistema petrolífero do Pré-Sal brasileiro, influencia diretamente a maturação termal de rochas geradoras e a compartimentação de reservatórios carbonáticos."
Lava Flow,Geological Object,"The NLD defines a Lava Flow as a distinct 'rock body' generated by a geological process (effusion and solidification), which fits the definition of a Geological Object.","Um Derramamento de Lava é um corpo rochoso ígneo extrusivo que se origina da efusão e solidificação de magma na superfície, em ambiente subaéreo ou subaquático. No contexto do Pré-Sal brasileiro, estes corpos são predominantemente basálticos, de idade Aptiana, e ocorrem intercalados às sequências sedimentares das fases sin-rifte e sag. Sua baixa permeabilidade e alta impedância acústica fazem com que atuem como importantes rochas selantes para as acumulações de hidrocarbonetos e representem um desafio significativo para a aquisição e interpretação de dados sísmicos."
Ash Fall,Depositional Unit,"The NLD defines the term as a 'volcanoclastic deposit' that forms 'thin layers', which is consistent with the definition of a Depositional Unit as a recognizable body of deposited material.","Queda de Cinzas é um depósito vulcanoclástico primário que resulta da decantação de tefra ejetada durante erupções vulcânicas. No contexto do Pré-Sal, estes depósitos formam camadas delgadas, frequentemente alteradas para bentonita, que se encontram intercaladas na sucessão carbonática e servem como excelentes marcadores cronoestratigráficos para a correlação de reservatórios. A sua presença e alteração diagenética podem impactar a qualidade petrofísica das rochas ao introduzir argilominerais que ocluem o sistema poroso."
Hydrothermal Vent,Geological Object,"The NLD defines it as a 'geological feature' that functions as a physical conduit, which corresponds to a rigid entity with its own identity criteria.","Uma chaminé hidrotermal é uma feição geológica que funciona como um conduto para a ascensão de fluidos quentes e quimicamente reativos, os quais promovem alterações diagenéticas significativas nos reservatórios carbonáticos do Pré-Sal. Este processo é o principal responsável pela precipitação de grandes volumes de sílica e pela dolomitização das rochas encaixantes. Consequentemente, a presença e distribuição dessas feições exercem um controle primário sobre a heterogeneidade e a qualidade final do reservatório."
Metamorphism,Geological Process,"The NLD explicitly defines the term as a 'process of transformation' that alters the mineralogy, texture, and structure of a pre-existing rock.","Metamorfismo é um processo de transformação endógena que altera a mineralogia, a textura e a estrutura de uma rocha preexistente (protólito) no estado sólido. Estas transformações são induzidas por variações de temperatura, pressão e pela atuação de fluidos quimicamente ativos, sem que ocorra a fusão da rocha. No contexto do Pré-Sal, o metamorfismo define as rochas do embasamento econômico e pode destruir o potencial de reservatórios carbonáticos por recristalização, transformando-os em mármores."
Contact Metamorphism,Geological Process,"The NLD explicitly defines the term as a 'metamorphic process' that results in the alteration of rocks, which directly corresponds to the definition of a Geological Process.","Metamorfismo de Contato é um processo metamórfico que resulta da alteração de rochas encaixantes pelo calor emanado de uma intrusão ígnea. No contexto do Pré-Sal brasileiro, este processo é frequentemente associado a intrusões de diabásio em reservatórios carbonáticos, formando mármores ou skarns. A recristalização e o crescimento de novos minerais na auréola metamórfica tipicamente destroem a porosidade e a permeabilidade originais da rocha reservatório."
Regional Metamorphism,Geological Process,The NLD explicitly defines the term as a metamorphic process ('processo metamórfico') that acts on extensive areas of the crust to form rocks.,"Metamorfismo Regional é um processo metamórfico que atua em extensas áreas da crosta, sendo impulsionado por aumentos de pressão dirigida e temperatura associados a eventos orogenéticos. No contexto brasileiro, este processo foi responsável pela formação das rochas do embasamento cristalino sobre o qual se desenvolveu o sistema petrolífero do Pré-Sal. A arquitetura deste embasamento controlou diretamente a deposição e a distribuição das rochas geradoras lacustres e dos reservatórios carbonáticos."
Hydrothermal Alteration,Geological Process,"The NLD explicitly defines the term as a diagenetic process that modifies the mineralogical and textural composition of rocks, which is a direct match for the Geological Process category.","Alteração Hidrotermal é um processo diagenético que modifica a composição mineralógica e textural das rochas pela interação com fluidos aquosos quentes e quimicamente reativos. Nos reservatórios carbonáticos do Pré-Sal, este processo controla a qualidade da rocha ao gerar porosidade por dissolução ou destruí-la pela precipitação de minerais como dolomita, sílica e silicatos de magnésio. A sua ação é, portanto, um fator crítico que define a capacidade de armazenamento e fluxo de hidrocarbonetos."
Spilitization,Geological Process,The NLD explicitly defines the term as a 'processo de alteração' (alteration process) that modifies the composition and properties of rocks.,"Espilitização é um processo de alteração metassomática de baixo grau que afeta rochas ígneas básicas, como os basaltos da fase rifte do pré-sal. Este processo é caracterizado pela albitização do plagioclásio e pela neoformação de um conjunto mineral secundário, incluindo clorita, calcita e epidoto. A alteração resultante modifica significativamente as propriedades petrofísicas e elásticas da rocha, impactando a interpretação sísmica e a qualidade de potenciais reservatórios vulcânicos."
Chloritization,Geological Process,The NLD explicitly defines the term as a 'diagenetic process' that transforms minerals and modifies the arrangement of a geological object (rock).,"Cloritização é um processo diagenético que resulta na neoformação de minerais do grupo da clorita pela transformação de silicatos de magnésio precursores, como estevensita e sepiolita. Este processo, induzido pelo aumento de temperatura durante o soterramento, é um mecanismo chave na evolução dos reservatórios carbonáticos do Pré-Sal. A precipitação da clorita autigênica altera a fábrica da rocha, impactando diretamente a qualidade do reservatório ao modificar a porosidade e a permeabilidade."
Epidotization,Geological Process,The NLD explicitly defines the term as a 'processo de alteração hidrotermal' (process of hydrothermal alteration) that modifies the composition of pre-existing rocks.,"Epidotização é um processo de alteração hidrotermal que se caracteriza pela cristalização de minerais do grupo do epidoto, geralmente em substituição a minerais preexistentes como plagioclásios e máficos. No domínio do Pré-Sal brasileiro, este processo afeta predominantemente rochas do embasamento ígneo-metamórfico e corpos ígneos intrusivos que seccionam a sequência carbonática. Sua ocorrência é um indicador de sistemas de fluxo de fluidos que podem impactar a qualidade de reservatórios fraturados no embasamento e o histórico termal da bacia."
Sericitization,Geological Process,The NLD explicitly defines the term as a 'processo de alteração hidrotermal' (process of hydrothermal alteration) that modifies the composition of minerals.,"Sericitização é um processo de alteração hidrotermal que se caracteriza pela substituição de minerais silicáticos, principalmente feldspatos e micas, por um agregado fino de micas brancas (sericita). Este processo é frequentemente associado a zonas de falhas e fraturas no embasamento cristalino subjacente aos reservatórios carbonáticos do Pré-Sal. A intensidade da sericitização impacta diretamente as propriedades geomecânicas e petrofísicas do embasamento, influenciando sua competência e potencial como reservatório fraturado."
Zeolitization,Geological Process,"The NLD explicitly defines the term as a 'diagenetic process' that consists of the formation of minerals from the alteration of precursor materials, which modifies geological objects.","Zeolitização é um processo diagenético que consiste na formação de minerais do grupo das zeólitas a partir da alteração de materiais precursores, como vidro vulcânico e feldspatos, em rochas siliciclásticas e vulcânicas. No contexto do Pré-Sal brasileiro, este processo é comum nas sequências vulcanoclásticas da fase rifte, onde impacta diretamente as propriedades de reservatório e selo. A reação libera íons para os fluidos intersticiais, como sílica e magnésio, que podem influenciar a diagênese dos reservatórios carbonáticos adjacentes."
Geochronology,Geological Process,"The NLD describes a discipline that quantifies geological time by determining ages through a series of methods, which aligns with the definition of a geological process.","Geocronologia é a disciplina da Geologia que quantifica o tempo geológico através da determinação de idades absolutas para rochas, minerais e eventos, utilizando principalmente métodos radiométricos. Sua aplicação é crucial na exploração de petróleo para calibrar a evolução de bacias sedimentares, como na datação das rochas vulcânicas que restringem a idade das sequências geradoras e reservatórios do Pré-Sal."
Radiometric Dating,process,"The NLD describes it as a geochronological method, which is a series of actions or steps that unfold over time, fitting the definition of a process.","Datação Radiométrica é um método geocronológico que determina a idade absoluta de rochas e minerais com base na taxa de decaimento constante de isótopos radioativos em seus isótopos filhos. No contexto do Pré-Sal, sua aplicação em rochas ígneas associadas ao rifte é fundamental para ancorar o arcabouço cronoestratigráfico, restringindo a idade de deposição dos reservatórios carbonáticos e das rochas geradoras."
Chemostratigraphy,Geological Process,"The NLD defines it as a 'stratigraphic method' and 'technique' for correlation and subdivision, which is a process that modifies the conceptual arrangement of geological objects.","Quimioestratigrafia é um método estratigráfico que utiliza a variação sistemática de propriedades geoquímicas em rochas sedimentares, como elementos traço e isótopos estáveis, para a correlação e subdivisão de unidades geológicas. No contexto do Pré-Sal brasileiro, esta técnica é fundamental para estabelecer um arcabouço cronoestratigráfico de alta resolução em sucessões carbonáticas lacustres, onde a bioestratigrafia é frequentemente inconclusiva e as fácies exibem alta heterogeneidade. As assinaturas geoquímicas resultantes refletem mudanças paleoambientais, como variações na salinidade do paleolago, sendo cruciais para a predição da arquitetura e qualidade dos reservatórios."
Magnetostratigraphy,Geological Process,"The NLD defines the term as a stratigraphic method for establishing a chronostratigraphic framework, which is a process that modifies the conceptual arrangement of geological objects.","Magnetoestratigrafia é um método estratigráfico que estabelece um arcabouço cronoestratigráfico a partir do registro das inversões de polaridade do campo magnético da Terra preservado em sucessões sedimentares ou vulcânicas. Sua aplicação é fundamental na correlação de alta resolução das sucessões carbonáticas lacustres da fase sag do Pré-Sal, que possuem escasso controle bioestratigráfico. O método permite a calibração de zonas de polaridade magnética locais com a Escala de Tempo de Polaridade Geomagnética (GPTS), refinando o posicionamento temporal dos eventos geológicos."
Biostratigraphy,generically dependent continuant,"The NLD defines it as a discipline and branch of stratigraphy, which is an intellectual framework or methodology for organizing geological data, fitting the definition of a pattern or content that can be copied or shared.","Bioestratigrafia é o ramo da estratigrafia que organiza as rochas em unidades com base em seu conteúdo fossilífero para determinar suas idades relativas e correlação. No Pré-Sal brasileiro, esta disciplina é fundamental para o zoneamento e correlação dos reservatórios carbonáticos da sequência Sag, utilizando principalmente microfósseis como ostracodes não-marinhos. A sua aplicação permite a construção de arcabouços cronoestratigráficos de alta resolução, essenciais para a modelagem de sistemas petrolíferos."
Chronostratigraphy,Geological Process,"The NLD defines it as a branch of stratigraphy that establishes a temporal framework and organizes the rock record, which constitutes a scientific process of investigation and interpretation.","Cronoestratigrafia é o ramo da estratigrafia que estabelece um arcabouço temporal para o registro rochoso, organizando-o em unidades isócronas que permitem a correlação de sistemas deposicionais entre áreas distintas, independentemente de suas variações litológicas. Este arcabouço é fundamental para a reconstrução da história geológica de uma bacia e para a predição da distribuição de seus elementos do sistema petrolífero."
Lithostratigraphy,generically dependent continuant,"The NLD describes it as a framework and a branch of stratigraphy that organizes rock bodies, which fits the definition of a pattern or information content entity rather than a physical object or process.","Litoestratigrafia é o ramo da estratigrafia que organiza corpos rochosos em unidades mapeáveis com base em suas características litológicas e em suas relações de superposição. No contexto do Pré-Sal brasileiro, é a principal ferramenta para definir e correlacionar as complexas fácies carbonáticas que constituem os reservatórios, bem como as unidades selantes e geradoras associadas. Este arcabouço litoestratigráfico é a base para a modelagem geológica e a avaliação do potencial exploratório da bacia."
Formation,Depositional Unit,"The NLD defines a formation as a fundamental, mappable lithostratigraphic rock body, which corresponds to a sedimentary geological object recognizable at a mapping scale.","Formação é a unidade litoestratigráfica fundamental que define um corpo rochoso mapeável em subsuperfície, caracterizado por litofácies distintivas e que constitui os principais reservatórios do sistema petrolífero do Pré-Sal."
Member,Depositional Unit,"The NLD describes a Member as a mappable lithostratigraphic unit defined by specific depositional characteristics, which fits the definition of a Depositional Unit as a recognizable Sedimentary Geological Object.","Membro é uma unidade litoestratigráfica que constitui uma subdivisão formal de uma formação, sendo individualizada por características litológicas, petrofísicas e deposicionais específicas. No contexto do Pré-Sal brasileiro, a definição de membros é fundamental para a correlação de poços e a caracterização de reservatórios carbonáticos heterogêneos. Sua identificação e mapeamento permitem a construção de modelos geológicos de maior previsibilidade."
Group,Depositional System,"The NLD defines a Group as a high-hierarchy unit comprising a set of two or more formations, which corresponds to a Depositional System being an aggregate of linked Depositional Units.","Um Grupo é uma unidade litoestratigráfica formal de alta hierarquia que compreende um conjunto de duas ou mais formações com afinidades litogenéticas. No sistema petrolífero do Pré-Sal, esta unidade frequentemente engloba a sucessão de rochas geradoras e reservatórios associadas a uma fase tectono-sedimentar principal, como a fase sag. O Grupo Guaratiba, englobando as formações carbonáticas da fase sag nas bacias de Santos e Campos, constitui o exemplo mais representativo."
Supergroup,Depositional System,"The NLD defines a Supergroup as a high-order unit that groups a set of genetically related formations and groups, which fits the definition of a Depositional System as an object aggregate of depositional units.","Supergrupo é uma unidade litoestratigráfica de mais alta ordem que agrupa um conjunto de formações e grupos geneticamente relacionados, depositados durante um ciclo tectono-sedimentar maior. No contexto do Pré-sal brasileiro, ele compreende a sucessão sin-rifte e sag, delimitada por discordâncias regionais, que engloba os principais intervalos geradores e os reservatórios carbonáticos lacustres."
Depositional Sequence,Depositional System,"The NLD describes it as a unit comprising a 'succession of genetically related strata', which aligns with the definition of an aggregate of linked Depositional Units.","Uma Sequência Deposicional é uma unidade estratigráfica fundamental que compreende uma sucessão de estratos geneticamente relacionados, depositados durante um ciclo completo de variação do nível de base em um sistema lacustre. Seus limites são discordâncias ou suas conformidades correlativas, que no Pré-Sal correspondem frequentemente a superfícies de exposição subaérea com grande impacto na arquitetura e qualidade dos reservatórios carbonáticos."
Genetic Unit,Depositional Unit,"The NLD defines it as a stratigraphic interval grouping genetically related lithofacies deposited in response to a cycle, which fits the definition of a recognizable Sedimentary Geological Object.","Unidade Genética é um intervalo estratigráfico que agrupa um conjunto de litofácies carbonáticas e siliciclásticas geneticamente relacionadas, depositadas em resposta a um ciclo de variação do nível de base em um sistema lacustre. Este intervalo é delimitado por superfícies estratigráficas que representam mudanças significativas nas condições deposicionais, como superfícies de inundação ou de exposição subaérea."
Pay Zone,fiat object part,"The NLD defines a Pay Zone as an interval within a larger reservoir whose boundaries are determined by economic and petrophysical criteria, not necessarily physical discontinuities, making it a fiat part of a larger object.",Pay Zone é um intervalo de um reservatório que possui uma combinação de propriedades petrofísicas e saturação de hidrocarbonetos que torna sua produção economicamente viável.
Net Pay,Thickness,"The NLD defines the term as the 'cumulative thickness' of a reservoir, which directly corresponds to the definition of Thickness as a one-dimensional extent of an independent continuant.","*Net Pay* é a espessura cumulativa de um reservatório que possui propriedades petrofísicas e saturação de hidrocarbonetos suficientes para produzir óleo e/ou gás de forma economicamente viável. Esta espessura é quantificada pela aplicação de valores de corte (*cutoffs*) para porosidade, permeabilidade, volume de argila e saturação de água. Representa o intervalo que efetivamente contribui para o cálculo de volumes recuperáveis e para a produtividade de um poço."
Net-To-Gross Ratio,quality,"The NLD defines the term as a dimensionless parameter expressing a ratio of thicknesses, which is a property that inheres in a geological interval, fitting the BFO definition of a quality.","A Relação Líquido/Bruto é um parâmetro adimensional que expressa a razão entre a espessura acumulada de rochas reservatório (líquido) e a espessura total de um intervalo estratigráfico (bruto). A espessura líquida é determinada pela soma dos intervalos que atendem a limiares petrofísicos (cutoffs) predefinidos de porosidade e permeabilidade, que definem a capacidade da rocha de armazenar e fluir hidrocarbonetos. No contexto do Pré-Sal, este indicador é essencial para quantificar a proporção de fácies carbonáticas produtivas, como coquinas e microbialitos, e para a estimativa de volumes recuperáveis."
Cutoff,quality,"The NLD defines a cutoff as a threshold value for a petrophysical property (e.g., porosity), which is a specifically dependent continuant that inheres in the rock.","Cutoff é um valor limiar, aplicado a uma propriedade petrofísica, que discrimina a rocha-reservatório com potencial de produção econômica (net pay) da rocha não-reservatório. Comumente definidos para porosidade, saturação de água e volume de argila, esses limites são essenciais para a estimativa do volume de hidrocarbonetos e para o cálculo da razão net-to-gross. A sua aplicação é um passo crítico na caracterização de reservatórios carbonáticos, como os do Pré-Sal, para definir os intervalos que contribuem efetivamente para a produção."
Flow Unit,Depositional Unit,"The NLD defines it as a correlatable interval of reservoir rock associated with specific depositional facies, which is consistent with the definition of a recognizable sedimentary geological object.","Uma Unidade de Fluxo é um intervalo de rocha reservatório correlacionável que possui uma relação consistente entre porosidade e permeabilidade, controlando efetivamente o armazenamento e o movimento de fluidos. No Pré-Sal brasileiro, estas unidades são tipicamente associadas a fácies deposicionais específicas ou a sobreimposições diagenéticas significativas que definem comportamentos hidráulicos distintos. Este intervalo representa a menor escala de heterogeneidade geológica que impacta diretamente a dinâmica do fluxo no reservatório."
Baffle,Depositional Unit,"The NLD describes a baffle as a 'rock body' and a 'geological feature' composed of sedimentary materials (microbialites, clay layers) that forms a distinct, recognizable unit within a larger reservoir.","Um baffle é um corpo rochoso de baixa permeabilidade que, quando intercalado em um reservatório carbonático, atua como uma barreira parcial que retarda o fluxo de fluidos e promove a compartimentalização vertical. Esta feição geológica, frequentemente representada por microbialitos densos ou finas camadas argilosas no Pré-Sal, impacta diretamente a eficiência de varrido e a estratégia de produção do campo."
Barrier,Sedimentary Geological Object,The NLD defines the term as a 'rock body' ('corpo rochoso') constituted by sedimentary materials like microbial laminites or siliciclastic rocks.,"Barreira é um corpo rochoso de baixa permeabilidade que impede ou restringe significativamente o fluxo de fluidos dentro de um sistema petrolífero. Nos reservatórios carbonáticos do Pré-Sal, é tipicamente representada por zonas com intensa cimentação diagenética, por fácies de baixa energia como laminitos microbianos, ou por intercalações de rochas siliciclásticas ou evaporíticas. Sua ocorrência controla a conectividade hidráulica e a distribuição de pressão, sendo um elemento crítico para a modelagem do comportamento dinâmico do reservatório."
Conduit,Geological Structure,"The NLD defines a conduit as a 'geological feature, of a structural or stratigraphic nature,' such as fault zones or fracture networks, which fits the definition of a structure describing the internal arrangement of a geological object.","Um conduto é uma feição geológica, de natureza estrutural ou estratigráfica, que constitui uma via de fluxo preferencial de alta permeabilidade para a migração de fluidos no sistema petrolífero. Esta feição conecta a rocha geradora ao reservatório ou redistribui fluidos, como hidrocarbonetos e CO₂, dentro do mesmo. No contexto do Pré-Sal, condutos são comumente representados por zonas de falhas e redes de fraturas associadas à fase rifte."
Compartmentalization,Geological Structure,"The NLD defines compartmentalization as the subdivision of a reservoir, which describes the internal arrangement and configuration of a Geological Object into distinct, hydraulically isolated volumes.","A compartimentalização é a subdivisão de um reservatório em volumes de rocha que apresentam isolamento hidráulico ou baixa conectividade entre si, gerada pela presença de barreiras de fluxo. No contexto dos carbonatos do Pré-Sal, tais barreiras podem ser de natureza estrutural, como falhas selantes associadas à halocinese, ou de natureza estratigráfico-diagenética, como a cimentação de fácies específicas. Esta condição controla a distribuição de fluidos e a dinâmica de produção, impactando diretamente o fator de recuperação e a estratégia de desenvolvimento do campo."
Original Oil In Place,Dimension,"The NLD defines this term as an 'estimate of the total volume of oil', which is a quantifiable measure of spatial extent that inheres in an independent continuant (the oil), fitting the definition of a Dimension.","Óleo Original In Place é a estimativa do volume total de óleo que está contido em um reservatório petrolífero sob condições de pressão e temperatura originais, antes do início de qualquer produção. Este volume é determinado pela integração de dados geológicos e petrofísicos, considerando a geometria da acumulação, a porosidade da rocha e a saturação de óleo. Nos reservatórios carbonáticos do Pré-Sal, a correta quantificação deste volume é fundamental para avaliar a viabilidade econômica do projeto e definir a estratégia de desenvolvimento do campo."
Original Gas In Place,quality,"The NLD defines the term as the total volume of gas, which is a quantifiable property or measure that inheres in the gas contained within the reservoir.","Gás Original In Place é o volume total de gás natural que se estima estar contido na porosidade de um reservatório sob suas condições originais de pressão e temperatura, antes do início de qualquer produção. Este volume compreende a totalidade dos hidrocarbonetos na fase gasosa, incluindo tanto as frações recuperáveis quanto as não recuperáveis. A sua quantificação é um parâmetro fundamental para a avaliação da viabilidade econômica e para o plano de desenvolvimento de acumulações, como as encontradas nos complexos reservatórios carbonáticos do Pré-Sal brasileiro."
Recovery Factor,quality,"The NLD defines this term as a ratio between two volumes, which is a parameter or characteristic that inheres in a reservoir and is therefore a quality.","Fator de Recuperação é a razão entre o volume de hidrocarbonetos que se estima ser técnica e economicamente recuperável e o volume total de hidrocarbonetos originalmente contido em um reservatório. Nos reservatórios carbonáticos do Pré-Sal, seu valor é fortemente influenciado pela heterogeneidade das fácies, pelas propriedades dos fluidos e pela estratégia de gerenciamento de produção, como a injeção alternada de água e gás (WAG). Este parâmetro é fundamental para a avaliação da viabilidade econômica de um projeto de desenvolvimento da produção."
Reserve,quality,"The NLD defines a reserve as a 'quantidade' (quantity) of petroleum, which is a measurable characteristic that inheres in the petroleum accumulation itself, fitting the definition of a quality.","Reserva é a quantidade de petróleo que se estima ser comercialmente recuperável de acumulações conhecidas, a partir de uma data de referência e através de projetos de desenvolvimento definidos. Sua quantificação depende da viabilidade técnica do projeto e de condições econômicas, operacionais e governamentais que justifiquem a produção. No contexto do Pré-Sal brasileiro, a estimativa de reservas é particularmente desafiadora devido à complexidade dos reservatórios carbonáticos e ao ambiente de ultra-águas profundas."
Resource,Earth Fluid,"The NLD defines a resource as a 'quantity of hydrocarbons', which is a volume of fluid matter fitting the definition of an Earth Fluid.","Recurso é a quantidade de hidrocarbonetos que, tendo sido descoberta em uma acumulação geológica, é estimada como potencialmente recuperável, mas ainda sem viabilidade comercial comprovada que a classifique como reserva. No contexto do Pré-Sal brasileiro, estes volumes estão tipicamente contidos em reservatórios carbonáticos de alta heterogeneidade, como microbialitos e coquinas."
Economic Basement,Geological Boundary,"The NLD defines the term as a 'superfície' (surface) that establishes the 'limite vertical inferior' (lower vertical limit) of interest, which directly aligns with the concept of a boundary.","Embasamento Econômico é uma superfície que define o limite vertical inferior de interesse para a exploração de hidrocarbonetos em uma bacia sedimentar. Sua posição é determinada por critérios geológicos e econômicos, como a ausência de elementos viáveis do sistema petrolífero, e não corresponde necessariamente ao embasamento geológico cristalino. No contexto do Pré-Sal brasileiro, este limite frequentemente coincide com o topo de rochas ígneas ou de sequências sin-rifte de baixa prospectividade que subjazem os reservatórios carbonáticos."
Acoustic Basement,Geological Boundary,"The NLD defines the term as a seismic horizon and an interface between the geological basement and the overlying sedimentary section, which aligns with the definition of a physical discontinuity on the surface of a Geological Object.","O Embasamento Acústico é um horizonte sísmico profundo que representa a interface entre as rochas do embasamento geológico, tipicamente ígneas ou metamórficas, e a seção sedimentar sobrejacente da bacia. Abaixo deste horizonte, os dados sísmicos geralmente exibem um padrão caótico ou desprovido de reflexões coerentes, devido à natureza cristalina e/ou à intensa deformação das rochas. No contexto do Pré-Sal brasileiro, ele constitui o limite inferior do sistema petrolífero, servindo como base para o mapeamento das sequências sin-rifte."
Magnetic Basement,Geological Boundary,"The NLD defines it as a 'geophysical surface' representing the 'top of the crystalline basement', which is a physical discontinuity on the external surface of a geological object.","Embasamento Magnético é uma superfície geofísica que representa o topo do soco cristalino de alta susceptibilidade magnética, cuja paleotopografia, mapeada por magnetometria, define a arquitetura basal que controlou a deposição dos sistemas geradores e reservatórios do pré-sal."
Gravity Anomaly,quality,"The NLD defines it as the difference between a measured and a theoretical value of the gravitational field, which is a property or characteristic that inheres in a specific region.","Uma anomalia gravimétrica é a diferença entre o valor medido do campo gravitacional terrestre e um valor de referência teórico, que é causada por variações laterais na densidade das rochas em subsuperfície. No contexto do Pré-Sal brasileiro, é uma ferramenta geofísica essencial para delinear os corpos de sal de baixa densidade e mapear os altos do embasamento cristalino. Estas feições governam a localização e a geometria dos sistemas deposicionais carbonáticos."
Magnetic Anomaly,Facies,"The NLD defines it as a local variation of a physical field that reflects contrasts in properties of subsurface lithologies, which aligns with Facies as a pattern of properties of Geological Objects.","Anomalia magnética é uma variação local do campo magnético terrestre que reflete contrastes de suscetibilidade magnética entre diferentes litologias em subsuperfície. No contexto do Pré-Sal, sua interpretação é fundamental para mapear a topografia do embasamento e identificar corpos ígneos. Estes elementos controlam o arcabouço estrutural e a distribuição dos reservatórios carbonáticos."
