Term,NLD
Stratigraphy,"Estratigrafia é a disciplina das Geociências que estuda a origem, sucessão, idade e distribuição espacial das rochas estratificadas para estabelecer um arcabouço cronoestratigráfico. Este arcabouço permite interpretar a história geológica de uma bacia e prever a arquitetura de sistemas petrolíferos, como os reservatórios carbonáticos do Pré-Sal."
Structural Geology,"Geologia Estrutural é o ramo da geologia que estuda a geometria, distribuição e mecanismos de formação das estruturas deformacionais nas rochas. No contexto do Pré-Sal brasileiro, ela é essencial para compreender a arquitetura das bacias rifte, a compartimentação dos reservatórios carbonáticos por falhas e a geração de trapas estruturais controladas pela halocinese. Sua análise define os principais controles sobre a migração e acumulação de hidrocarbonetos no sistema petrolífero."
Tectonics,"Tectônica é o conjunto de processos de deformação da litosfera que controlam a origem e a evolução das bacias sedimentares. No Pré-Sal brasileiro, a tectônica extensional do tipo rifte foi o processo fundamental que gerou os altos estruturais (horsts) onde se desenvolveram e foram preservados os principais reservatórios carbonáticos. Estes altos configuram as trapas estruturais que contêm as maiores acumulações de petróleo e gás da província."
Geochemistry,"Geoquímica é a disciplina das geociências que aplica princípios e análises químicas para decifrar o sistema petrolífero, determinando a origem e a evolução termal dos fluidos a partir de rochas geradoras lacustres. Esta análise permite a correlação óleo-rocha geradora e a caracterização da composição dos fluidos, incluindo contaminantes como o CO₂, nos reservatórios carbonáticos do Pré-Sal. Adicionalmente, investiga as interações rocha-fluido que controlam a diagênese e a qualidade do reservatório."
Petrology,"Petrologia é o ramo da geologia que estuda a origem, composição, textura e classificação das rochas. No contexto do Pré-Sal, sua aplicação é fundamental para a caracterização das rochas carbonáticas, integrando a análise de fácies deposicionais e a evolução diagenética. Este estudo permite a definição dos controles geológicos sobre a qualidade do reservatório, como a porosidade e a permeabilidade."
Petrophysics,"Petrofísica é uma disciplina das geociências que estuda as propriedades físicas e químicas das rochas e suas interações com os fluidos contidos em seus poros. No contexto do Pré-Sal brasileiro, sua aplicação é fundamental para a caracterização de reservatórios carbonáticos complexos, como coquinas e microbialitos, por meio da integração de dados de perfis de poço e testemunhos. Seu objetivo principal é quantificar o volume de hidrocarbonetos e avaliar a capacidade de produção do reservatório."
Geophysics,"Geofísica é a disciplina das geociências que aplica princípios e métodos quantitativos da física para a investigação indireta da subsuperfície. No contexto do Pré-Sal brasileiro, é a ferramenta primária utilizada para mapear a complexa geometria da camada de sal e para caracterizar a arquitetura e as propriedades dos reservatórios carbonáticos subjacentes. Sua aplicação é essencial para reduzir os riscos exploratórios e otimizar o desenvolvimento dos campos petrolíferos."
Geomechanics,"Geomecânica é a disciplina da geociência que quantifica a resposta mecânica das rochas aos campos de tensão para prever seu comportamento durante as operações de um sistema petrolífero. No contexto do Pré-Sal, sua aplicação é fundamental para garantir a estabilidade de poços, a integridade da rocha selante e a gestão da compactação dos reservatórios carbonáticos. Esta análise integra dados geológicos, petrofísicos e de engenharia para construir modelos preditivos do estado de tensões in situ."
Basin Analysis,"Análise de Bacia é um estudo geocientífico integrado que reconstrói a evolução tectono-estratigráfica e termal de uma bacia sedimentar a partir da interpretação de dados geológicos, geofísicos e geoquímicos. Este estudo visa compreender e quantificar os elementos e processos do sistema petrolífero, como a geração, migração e acumulação de hidrocarbonetos. O seu principal objetivo é avaliar o potencial exploratório da bacia, definindo áreas e intervalos de maior probabilidade de ocorrência de reservatórios economicamente viáveis."
Paleogeography,"Paleogeografia é o estudo que reconstrói a configuração das massas continentais, bacias e sistemas deposicionais em um determinado tempo geológico. Esta reconstituição é essencial para prever a distribuição das fácies do sistema petrolífero, como a localização das rochas geradoras e dos reservatórios carbonáticos lacustres do Pré-Sal. A análise paleogeográfica define o cenário evolutivo da bacia, integrando dados sísmicos, de poços e análogos."
Paleoclimatology,"Paleoclimatologia é a disciplina geocientífica que reconstitui os climas do passado geológico e suas variações através da análise de indicadores físicos, químicos e biológicos preservados no registro rochoso. No contexto do Pré-Sal, seu estudo é fundamental para a compreensão das condições de aridez e restrição marinha que controlaram a gênese e a qualidade dos reservatórios carbonáticos do Aptiano."
Paleontology,"Paleontologia é a ciência que estuda os fósseis para reconstruir os paleoambientes deposicionais e determinar a idade relativa das sucessões sedimentares. No contexto do Pré-Sal, sua aplicação é fundamental na bioestratigrafia de seções lacustres e na caracterização de fácies carbonáticas. O estudo de microfósseis, como ostracodes, e de estruturas biogênicas, como microbialitos, são ferramentas essenciais para a exploração de hidrocarbonetos nesta província."
Ichnology,"Icnologia é o ramo da geologia que estuda os vestígios de atividade biológica (icnofósseis) para interpretar paleoambientes e processos deposicionais. No contexto dos reservatórios carbonáticos do Pré-Sal, a análise de icnofábricas é uma ferramenta essencial para definir as condições paleoecológicas do sistema lacustre e avaliar o impacto da bioturbação na qualidade petrofísica da rocha."
Cretaceous,"O Cretáceo é um Período Geológico que, no contexto das bacias marginais brasileiras, engloba a fase de rifteamento que culminou na abertura do Atlântico Sul. Este intervalo registra a deposição da sucessão sedimentar que forma os elementos essenciais do sistema petrolífero do Pré-Sal, notadamente a rocha geradora lacustre, o reservatório carbonático e o selo evaporítico regional."
Mesozoic,"O Mesozoico é uma era geológica que, no contexto da margem continental brasileira, engloba o rifteamento do supercontinente Gondwana e a consequente abertura do Oceano Atlântico Sul. Esta era contém o Período Cretáceo, durante o qual foram depositados os principais elementos do sistema petrolífero do Pré-Sal, incluindo as rochas geradoras lacustres e os reservatórios carbonáticos."
Cenozoic,"O Cenozoico é a mais recente era geológica do Éon Fanerozoico que, iniciada há 66 milhões de anos, corresponde à seção estratigráfica superior da sucessão pós-sal nas bacias da margem continental brasileira. A deposição desta espessa seção sedimentar proveu a sobrecarga essencial para a maturação térmica das rochas geradoras aptianas do pré-sal. Sua evolução tectono-sedimentar também exerceu controle sobre a integridade do selo salino e as vias de migração tardias do sistema petrolífero."
Neocomian,"O Neocomiano é uma época do período Cretáceo Inferior que, no contexto do Pré-Sal brasileiro, corresponde à fase sin-rift de rifteamento continental. Esta fase foi caracterizada pela deposição, em um sistema de lagos profundos, das rochas geradoras que constituem o fundamento do sistema petrolífero local."
Hauterivian,"O Hauteriviano é uma idade geológica do Cretáceo Inferior que, no contexto da fase rifte do Pré-Sal brasileiro, é caracterizada pela deposição das coquinas lacustres. Estas rochas constituem as principais rochas geradoras e importantes reservatórios do sistema petrolífero."
Valanginian,"O Valanginiano é uma idade da época Cretáceo Inferior que, no contexto do pré-sal brasileiro, caracteriza o estágio inicial da fase rifte, marcado pela deposição de sucessões siliciclásticas e carbonáticas em sistemas lacustres. Estas sucessões constituem importantes reservatórios do tipo sin-rifte, que ocorrem sotopostos aos principais reservatórios carbonáticos da fase sag."
Berriasian,"O Berriasiano é a primeira Idade geológica do período Cretáceo que, no contexto das bacias do pré-sal, marca o início da fase sin-rifte que precede a deposição dos reservatórios da fase sag. Os depósitos berriasianos são tipicamente constituídos por rochas siliciclásticas e vulcânicas que formam a base dessa megassequência rifte."
Jurassic,"O Jurássico é um período geológico da era Mesozoica que, no contexto da margem continental brasileira, corresponde à fase de rifteamento inicial que estabeleceu a arquitetura tectônica fundamental para a deposição dos sistemas petrolíferos do Pré-Sal. Este processo de estiramento crustal foi responsável pela formação dos altos e baixos estruturais que controlaram a sedimentação das sequências geradoras e dos reservatórios do Cretáceo Inferior."
Triassic,"O Triássico é o primeiro período geológico da Era Mesozoica que, no contexto das bacias do Pré-Sal brasileiro, caracteriza a supersequência pré-rifte. Seus depósitos, predominantemente continentais, formam o substrato sobre o qual se desenvolveu a seção rifte que contém as rochas geradoras e reservatórios do sistema petrolífero. A principal relevância destes estratos é no controle do arcabouço estrutural e do fluxo térmico que influenciaram a geração e acumulação de hidrocarbonetos no Cretáceo."
Paleozoic,"O Paleozoico é uma era geológica do éon Fanerozoico que antecede a Era Mesozoica, cujas rochas frequentemente compõem o embasamento pré-rifte sobre o qual se desenvolveram os sistemas petrolíferos do Pré-Sal."
Proterozoic,"O Proterozoico é um éon do tempo geológico, compreendido entre 2,5 bilhões e 541 milhões de anos atrás, que representa o período de formação das rochas do embasamento cristalino sobre o qual se desenvolveram as bacias do Pré-Sal brasileiro."
Precambrian,"O Pré-Cambriano é o superéon do tempo geológico que antecede o Éon Fanerozoico, cujas rochas ígneas e metamórficas constituem o embasamento cristalino das bacias do pré-sal brasileiro. A paleotopografia deste embasamento, resultante dos eventos tectônicos do rifte, exerceu controle fundamental na deposição e distribuição dos sistemas lacustres geradores e reservatórios. Sua composição e estrutura influenciam o fluxo de calor basal e o regime de fraturamento que afetam o sistema petrolífero."
Depocenter,"O Depocentro é a região de uma bacia sedimentar que se caracteriza pela máxima acumulação e espessura de um determinado pacote de sedimentos, refletindo a área de maior subsidência tectônica. No contexto do Pré-sal, sua localização controla a distribuição e o soterramento das rochas geradoras e dos reservatórios carbonáticos. A sua identificação é, portanto, fundamental para a definição do modelo de preenchimento da bacia e para a exploração de hidrocarbonetos."
Sediment Source,"Fonte de Sedimento é uma área geológica que, através de processos de intemperismo, erosão ou produção biogênica/química, origina as partículas que compõem uma rocha sedimentar. No contexto do Pré-Sal brasileiro, as fontes podem ser tanto áreas continentais adjacentes, que fornecem sedimentos siliciclásticos, quanto altos estruturais ou a própria bacia, que geram os sedimentos carbonáticos por meio de produção in-situ ou retrabalhamento. A caracterização da fonte é fundamental para prever a composição, a qualidade e a distribuição dos reservatórios."
Sediment Transport,"Transporte de Sedimentos é um processo geológico que consiste no movimento de partículas, desde sua área de origem até o local de deposição final, por um agente como água, vento ou gravidade. No contexto do Pré-Sal brasileiro, este processo é fundamental para a distribuição de fácies carbonáticas, como coquinas e oólitos, em um sistema lacustre de alta energia. A energia e a duração do transporte controlam diretamente a seleção e a organização dos grãos, determinando a arquitetura e a qualidade porosa dos reservatórios."
Deposition,"Deposição é um processo geológico que consiste na acumulação de sedimentos carbonáticos, predominantemente por precipitação química e biogênica, em uma bacia de sedimentação lacustre. Este processo é o mecanismo fundamental para a construção das rochas reservatório do Pré-Sal, como os microbialitos e coquinas. A variação na taxa e no tipo de deposição controla diretamente a qualidade e a heterogeneidade destes reservatórios."
Erosion,"Erosão é um processo geológico que consiste no desgaste, remoção e transporte de material rochoso da superfície terrestre por agentes exógenos. No contexto dos reservatórios carbonáticos do Pré-Sal, este processo está predominantemente associado à exposição subaérea das plataformas durante quedas do nível do mar, resultando na formação de discordâncias e feições cársticas. Este fenômeno é um controle fundamental na qualidade do reservatório, podendo tanto gerar porosidade secundária de alta permeabilidade quanto destruir a rocha pré-existente."
Weathering,"Intemperismo é um conjunto de processos físicos, químicos e biológicos que altera rochas e minerais na superfície terrestre ou próximo a ela. No contexto do Pré-Sal brasileiro, este processo é fundamental na diagênese eogenética, sendo o principal responsável pela dissolução de carbonatos durante eventos de exposição subaérea das plataformas. Essa dissolução gera porosidade secundária, como vugs e moldes, que melhora significativamente a qualidade dos reservatórios."
Lithification,"Litificação é o conjunto de processos diagenéticos que, por meio de compactação, cimentação e recristalização, transforma sedimentos carbonáticos inconsolidados em rocha consolidada. Nos reservatórios do Pré-Sal, a natureza e a cronologia desses processos controlam diretamente a evolução da porosidade e permeabilidade, definindo a qualidade final da rocha. A interação entre a diagênese precoce e a de soterramento é, portanto, o fator determinante para a viabilidade econômica desses reservatórios."
Petrogenesis,"Petrogênese é o conjunto de processos geológicos que governa a origem e a evolução de uma rocha, desde a deposição de seus constituintes até as transformações diagenéticas que definem suas propriedades finais. No contexto do Pré-Sal, a análise petrogenética é fundamental para desvendar a formação das rochas carbonáticas lacustres e suas complexas alterações pós-deposicionais. Esses processos controlam diretamente a heterogeneidade e a qualidade do reservatório, determinando a distribuição de porosidade e permeabilidade."
Texture,"Textura é uma propriedade fundamental das rochas carbonáticas que descreve as relações espaciais entre os componentes constituintes, como grãos, matriz e cimento, e que exerce o controle primário sobre a porosidade e permeabilidade dos reservatórios do Pré-Sal."
Fabric,"Fábrica é a configuração espacial e geométrica dos elementos constituintes de uma rocha, que descreve a orientação, o empacotamento e as relações mútuas entre grãos, cristais, bioclastos e poros. Nos reservatórios carbonáticos do Pré-Sal, ela pode ser deposicional, como em coquinas, ou de crescimento *in situ*, como nos microbialitos. A fábrica é um controle fundamental na distribuição da porosidade e da permeabilidade do reservatório."
Sorting,"Seleção é uma medida textural que descreve o grau de uniformidade do tamanho das partículas constituintes de uma rocha carbonática, como grãos e esferulitos. Este atributo é um controle fundamental na distribuição da porosidade e permeabilidade das fácies reservatório do Pré-Sal. Rochas bem selecionadas tendem a formar reservatórios de alta qualidade, enquanto rochas mal selecionadas apresentam propriedades petrofísicas inferiores devido ao preenchimento do espaço poroso por partículas finas."
Rounding,"Arredondamento é uma medida textural que descreve o grau de suavização das arestas e cantos de uma partícula sedimentar. Nos carbonatos lacustres do Pré-Sal, este atributo é um produto da agitação mecânica de grãos, como ooides e intraclastos em zonas de alta energia, ou de processos de crescimento microbial, como nos oncoides. O alto grau de arredondamento é um controle primário da qualidade do reservatório, influenciando diretamente a porosidade e a permeabilidade intergranular das fácies granulares."
Grain Size,"Granulometria é uma propriedade textural que define a dimensão das partículas constituintes de uma rocha, como esferulitos, cristais e bioclastos. Nos reservatórios carbonáticos do Pré-Sal, esta propriedade, juntamente com o seu selecionamento, governa a porosidade interpartícula e a permeabilidade. Consequentemente, a granulometria é um controle primário na qualidade e na heterogeneidade do reservatório."
Matrix,"Matriz é o material de granulação fina que constitui a fase contínua de uma rocha carbonática, envolvendo e suportando componentes maiores como grãos, bioclastos ou esferulitos. Nos reservatórios do Pré-Sal, a matriz é o principal componente que hospeda a porosidade intercristalina e interpartícula efetiva. Suas características texturais e diagenéticas, portanto, controlam diretamente a permeabilidade e a qualidade geral do reservatório."
Framework,Framework é o arcabouço deposicional de uma rocha carbonática que é constituído por um arranjo tridimensional de componentes biogênicos e/ou abióticos que cresceram interconectados *in situ*. Esta estrutura é responsável pela sustentação da rocha e pela criação da porosidade primária do reservatório.
Bedding,"Acamadamento é uma estrutura sedimentar primária que se caracteriza pela disposição de rochas em camadas ou estratos com distintas propriedades texturais ou composicionais. Nos carbonatos lacustres do Pré-Sal, esta estrutura reflete principalmente as variações cíclicas nas condições de energia, química da água e produtividade biológica, controlando a alternância entre fácies como microbialitos e coquinas. A sua caracterização é fundamental para a definição da heterogeneidade do reservatório e para a interpretação de dados sísmicos."
Lamination,"Laminação é uma estrutura sedimentar primária que se caracteriza por um conjunto de camadas, ou lâminas, com espessura milimétrica ou sub-milimétrica. No contexto do Pré-Sal brasileiro, esta estrutura é frequentemente associada a rochas carbonáticas microbiais e folhelhos lacustres ricos em matéria orgânica. Sua caracterização é fundamental para a definição de rochas geradoras e para a compreensão da heterogeneidade de reservatórios carbonáticos."
Cross-Bedding,"Estratificação cruzada é uma estrutura sedimentar primária que consiste em um conjunto de lâminas ou camadas inclinadas em relação aos planos de acamamento principais. É formada pela migração de formas de leito sob a ação de correntes, indicando a paleodireção e a energia do fluxo deposicional. No contexto do Pré-Sal brasileiro, sua ocorrência em fácies carbonáticas de alta energia, como coquinas e grainstones, é um importante indicador da qualidade e heterogeneidade do reservatório."
Ripple Mark,"Marca ondulada é uma estrutura sedimentar primária que se manifesta como uma série de ondulações de pequena escala, gerada na superfície de um leito de sedimentos carbonáticos granulares pela ação de ondas ou correntes. No contexto do Pré-Sal, é frequentemente encontrada em grainstones e packstones compostos por esferulitos, oólitos ou bioclastos, indicando condições de alta energia em ambientes lacustres rasos. A sua geometria e preservação são importantes para inferir a direção de paleocorrentes e para caracterizar a heterogeneidade de reservatórios carbonáticos."
Mud Crack,"Fenda de contração é uma estrutura sedimentar primária que resulta da dessecação e contração de lama carbonática submetida à exposição subaérea. No contexto do Pré-Sal, sua ocorrência em rochas como laminitos e microbialitos é um indicador chave de ambientes deposicionais peritidais ou lacustres rasos com flutuações do nível de base. O preenchimento posterior dessas fendas por sedimentos distintos ou cimentos pode influenciar significativamente a heterogeneidade e a qualidade do reservatório."
Bioturbation,"Bioturbação é um processo de retrabalhamento de sedimento promovido pela atividade de organismos que modifica a fábrica deposicional original e as propriedades petrofísicas da rocha. Nos reservatórios carbonáticos lacustres do Pré-Sal, sua intensidade é um controle fundamental na heterogeneidade do reservatório, podendo tanto gerar porosidade e permeabilidade secundárias quanto destruir a qualidade da rocha pela homogeneização do sedimento."
Stromatoporoid,"Um estromatoporoide é o fóssil de um organismo marinho colonial construtor de armação que possui um esqueleto calcário com estrutura interna de lamelas e pilares, sendo um componente fundamental na geração de porosidade primária nos reservatórios carbonáticos do Pré-Sal."
Foraminifera,"Foraminifera são um filo de protozoários, majoritariamente marinhos, que produzem uma testa externa cuja preservação no registro sedimentar os converte em microfósseis. Devido à sua rápida evolução e sensibilidade ambiental, são ferramentas bioestratigráficas e paleoecológicas fundamentais, utilizadas para datar e correlacionar as seções do pós-sal que recobrem os reservatórios do pré-sal brasileiro."
Ostracod,"Ostracode é um microfóssil que corresponde à carapaça calcária de um pequeno crustáceo bivalve. No Pré-Sal brasileiro, suas associações são a principal ferramenta para a bioestratigrafia e para a interpretação paleoambiental das sucessões lacustres do Aptiano. Sua análise é fundamental para a caracterização dos sistemas deposicionais dos reservatórios carbonáticos e rochas geradoras."
Gastropod,"Um gastrópode é um bioclasto derivado de um molusco com concha univalve e espiralada que é um constituinte comum das fácies carbonáticas do Pré-Sal. Sua concha, originalmente aragonítica, é altamente suscetível à dissolução durante a diagênese. Este processo frequentemente gera porosidade móldica, contribuindo significativamente para a qualidade dos reservatórios."
Bivalve,"Bivalve é um molusco de ambiente lacustre caracterizado por uma concha composta por duas valvas. Seus fragmentos (bioclastos) e conchas inteiras são constituintes primários das rochas carbonáticas, formando fácies de coquinas e grainstones com elevada qualidade de reservatório no Pré-Sal brasileiro."
Algae,"Alga é um microorganismo fotossintetizante que, nos sistemas deposicionais do Pré-Sal, desempenha o duplo papel de principal fonte de matéria orgânica para a geração de hidrocarbonetos e de catalisador para a precipitação de carbonatos lacustres formadores de reservatório."
Cyanobacteria,"Cianobactéria é um microrganismo procariótico fotossintetizante que, através de sua atividade metabólica em ambientes lacustres hipersalinos, induz a precipitação de carbonatos. Esta atividade é responsável pela formação das estruturas microbiais, como arbustos e esferulitos, que constituem as principais fácies reservatório do Pré-Sal. Adicionalmente, sua biomassa contribui significativamente para a matéria orgânica das rochas geradoras associadas."
Fossil,"Um fóssil é qualquer evidência de vida pretérita que, preservada no registro geológico, permite a datação relativa das rochas e a reconstituição de paleoambientes."
Microfossil,"Microfóssil é um fóssil que, por suas dimensões microscópicas, constitui uma ferramenta fundamental para a datação bioestratigráfica e a interpretação paleoambiental dos reservatórios carbonáticos. No contexto do Pré-Sal, os ostracodes lacustres são o principal grupo utilizado para definir a idade aptiana e as variações de salinidade dos sistemas deposicionais. Sua análise em testemunhos e amostras de calha é crucial para a correlação estratigráfica e a caracterização de fácies."
Macrofossil,"Um macrofóssil é um resto ou vestígio de um organismo preservado em rocha que, por seu tamanho superior a alguns milímetros, é visível a olho nu. No contexto dos carbonatos lacustres do Pré-Sal brasileiro, são tipicamente representados por bivalves, gastrópodes e ostracodes. Sua análise é fundamental para a interpretação de paleoambientes deposicionais e para a caracterização de fácies dos reservatórios."
Trace Fossil,"Icnofóssil é uma estrutura sedimentar biogênica que registra a atividade de um organismo sobre ou dentro de um substrato, preservada no registro geológico. Nos carbonatos lacustres do Pré-Sal, a bioturbação associada a estes fósseis é um importante modificador da fábrica da rocha, alterando as propriedades petrofísicas do reservatório. Esta alteração pode tanto criar uma rede de porosidade e permeabilidade secundária, melhorando a qualidade do reservatório, quanto homogeneizar o sedimento e destruir a fábrica deposicional primária."
Tectonic Subsidence,"Subsistência Tectônica é o processo de afundamento da litosfera que resulta da aplicação de forças tectônicas, como o estiramento crustal durante a fase rifte. No contexto do Pré-Sal brasileiro, este processo foi o principal mecanismo para a criação das bacias e para a geração do espaço de acomodação necessário à deposição das espessas sucessões de carbonatos lacustres. A sua magnitude e taxa controlam a arquitetura deposicional e a evolução termal da bacia, influenciando diretamente os elementos do sistema petrolífero."
Thermal Subsidence,"Subsidência térmica é um processo de subsidência tectônica que resulta do resfriamento, contração e consequente aumento de densidade da litosfera previamente aquecida e afinada durante a fase rifte. Este mecanismo é o principal responsável pela criação do espaço de acomodação durante a fase de ""sag"" pós-rifte nas bacias do pré-sal brasileiro. Ele controla a deposição da espessa sequência sedimentar que inclui a camada de sal aptiana e as seções geradoras e reservatórios do pós-sal."
Rift Initiation,"Iniciação do Rifte é a fase tectônica inicial de um processo de rifteamento continental que, através de falhamento extensional, estabelece o arcabouço estrutural de horsts e grabens. Esta fase cria o espaço de acomodação fundamental que, no contexto do Pré-Sal brasileiro, permitiu a deposição das rochas geradoras e reservatórios do sistema petrolífero lacustre."
Rift Climax,Clímax Rifte é a fase tectono-sedimentar de uma bacia rifte que é caracterizada pela máxima taxa de extensão crustal e subsidência. Esta fase gera o principal espaço de acomodação e a compartimentação estrutural que controlam a deposição e a distribuição das rochas geradoras e dos reservatórios carbonáticos do pré-sal.
Post-Rift Subsidence,"Subsidência Pós-Rifte é um processo tectono-sedimentar de afundamento da crosta que ocorre após a cessação do rifteamento ativo, sendo impulsionado principalmente pelo resfriamento e contração isostática da litosfera previamente aquecida e afinada. Este mecanismo gera uma subsidência regional de longo comprimento de onda, formando a ampla bacia do tipo sag onde foram depositados os reservatórios carbonáticos e a seção salífera do Pré-Sal brasileiro."
Magmatism,"Magmatismo é um conjunto de processos geológicos que envolve a geração, ascensão e posicionamento de magma, resultando na formação de corpos ígneos. No contexto do Pré-Sal brasileiro, este processo manifesta-se tanto por derrames vulcânicos que compõem o embasamento econômico quanto por intrusões posteriores que seccionam a coluna sedimentar. A sua ocorrência influencia diretamente a maturação da rocha geradora, a qualidade dos reservatórios carbonáticos e a configuração estrutural das trapas."
Volcanism,"Vulcanismo é o conjunto de processos geológicos, associado à ruptura continental que deu origem ao Oceano Atlântico Sul, que resulta na extrusão de magma e na formação de rochas ígneas. No contexto do pré-sal brasileiro, este fenômeno é predominantemente representado por extensos derrames de rochas basálticas de idade Aptiana. Essas rochas vulcânicas frequentemente constituem o embasamento sobre o qual se depositaram os reservatórios carbonáticos da seção sag."
Intrusion,"Uma intrusão é um corpo de rocha ígnea, de composição predominantemente máfica, que se aloja no interior da sucessão sedimentar pré-sal através da injeção e posterior solidificação de magma. Sua presença impacta o sistema petrolífero ao alterar o fluxo de calor, influenciando a maturação da rocha geradora, e ao modificar as propriedades do reservatório por metamorfismo de contato ou pela geração de fraturas. Adicionalmente, pode atuar como uma barreira que compartimentaliza o reservatório ou como uma zona de fraqueza que foca a migração de fluidos."
Extrusion,"Extrusão é um processo halocinético que se caracteriza pela ascensão de um corpo salino que perfura as camadas sedimentares sobrejacentes e flui lateralmente sobre o paleofundo marinho. Este mecanismo resulta na formação de feições salinas alóctones, como lençóis de sal, que constituem selos regionais cruciais para as acumulações do Pré-Sal."
Dike,"Dique é uma intrusão ígnea tabular que corta discordantemente as rochas encaixantes, como os carbonatos do pré-sal, ao preencher uma fratura preexistente. No contexto brasileiro, estes corpos são predominantemente de composição básica, associados ao magmatismo da fase rifte que deu origem ao Oceano Atlântico Sul. Sua presença pode atuar como uma barreira ao fluxo de fluidos, compartimentando os reservatórios, ou alterar as propriedades petrofísicas das rochas adjacentes."
Sill,"Sill é um corpo ígneo intrusivo de geometria tabular que se aloja de forma concordante com o acamamento das rochas encaixantes e que, no sistema petrolífero do Pré-Sal brasileiro, influencia diretamente a maturação termal de rochas geradoras e a compartimentação de reservatórios carbonáticos."
Lava Flow,"Um Derramamento de Lava é um corpo rochoso ígneo extrusivo que se origina da efusão e solidificação de magma na superfície, em ambiente subaéreo ou subaquático. No contexto do Pré-Sal brasileiro, estes corpos são predominantemente basálticos, de idade Aptiana, e ocorrem intercalados às sequências sedimentares das fases sin-rifte e sag. Sua baixa permeabilidade e alta impedância acústica fazem com que atuem como importantes rochas selantes para as acumulações de hidrocarbonetos e representem um desafio significativo para a aquisição e interpretação de dados sísmicos."
Ash Fall,"Queda de Cinzas é um depósito vulcanoclástico primário que resulta da decantação de tefra ejetada durante erupções vulcânicas. No contexto do Pré-Sal, estes depósitos formam camadas delgadas, frequentemente alteradas para bentonita, que se encontram intercaladas na sucessão carbonática e servem como excelentes marcadores cronoestratigráficos para a correlação de reservatórios. A sua presença e alteração diagenética podem impactar a qualidade petrofísica das rochas ao introduzir argilominerais que ocluem o sistema poroso."
Hydrothermal Vent,"Uma chaminé hidrotermal é uma feição geológica que funciona como um conduto para a ascensão de fluidos quentes e quimicamente reativos, os quais promovem alterações diagenéticas significativas nos reservatórios carbonáticos do Pré-Sal. Este processo é o principal responsável pela precipitação de grandes volumes de sílica e pela dolomitização das rochas encaixantes. Consequentemente, a presença e distribuição dessas feições exercem um controle primário sobre a heterogeneidade e a qualidade final do reservatório."
Metamorphism,"Metamorfismo é um processo de transformação endógena que altera a mineralogia, a textura e a estrutura de uma rocha preexistente (protólito) no estado sólido. Estas transformações são induzidas por variações de temperatura, pressão e pela atuação de fluidos quimicamente ativos, sem que ocorra a fusão da rocha. No contexto do Pré-Sal, o metamorfismo define as rochas do embasamento econômico e pode destruir o potencial de reservatórios carbonáticos por recristalização, transformando-os em mármores."
Contact Metamorphism,"Metamorfismo de Contato é um processo metamórfico que resulta da alteração de rochas encaixantes pelo calor emanado de uma intrusão ígnea. No contexto do Pré-Sal brasileiro, este processo é frequentemente associado a intrusões de diabásio em reservatórios carbonáticos, formando mármores ou skarns. A recristalização e o crescimento de novos minerais na auréola metamórfica tipicamente destroem a porosidade e a permeabilidade originais da rocha reservatório."
Regional Metamorphism,"Metamorfismo Regional é um processo metamórfico que atua em extensas áreas da crosta, sendo impulsionado por aumentos de pressão dirigida e temperatura associados a eventos orogenéticos. No contexto brasileiro, este processo foi responsável pela formação das rochas do embasamento cristalino sobre o qual se desenvolveu o sistema petrolífero do Pré-Sal. A arquitetura deste embasamento controlou diretamente a deposição e a distribuição das rochas geradoras lacustres e dos reservatórios carbonáticos."
Hydrothermal Alteration,"Alteração Hidrotermal é um processo diagenético que modifica a composição mineralógica e textural das rochas pela interação com fluidos aquosos quentes e quimicamente reativos. Nos reservatórios carbonáticos do Pré-Sal, este processo controla a qualidade da rocha ao gerar porosidade por dissolução ou destruí-la pela precipitação de minerais como dolomita, sílica e silicatos de magnésio. A sua ação é, portanto, um fator crítico que define a capacidade de armazenamento e fluxo de hidrocarbonetos."
Spilitization,"Espilitização é um processo de alteração metassomática de baixo grau que afeta rochas ígneas básicas, como os basaltos da fase rifte do pré-sal. Este processo é caracterizado pela albitização do plagioclásio e pela neoformação de um conjunto mineral secundário, incluindo clorita, calcita e epidoto. A alteração resultante modifica significativamente as propriedades petrofísicas e elásticas da rocha, impactando a interpretação sísmica e a qualidade de potenciais reservatórios vulcânicos."
Chloritization,"Cloritização é um processo diagenético que resulta na neoformação de minerais do grupo da clorita pela transformação de silicatos de magnésio precursores, como estevensita e sepiolita. Este processo, induzido pelo aumento de temperatura durante o soterramento, é um mecanismo chave na evolução dos reservatórios carbonáticos do Pré-Sal. A precipitação da clorita autigênica altera a fábrica da rocha, impactando diretamente a qualidade do reservatório ao modificar a porosidade e a permeabilidade."
Epidotization,"Epidotização é um processo de alteração hidrotermal que se caracteriza pela cristalização de minerais do grupo do epidoto, geralmente em substituição a minerais preexistentes como plagioclásios e máficos. No domínio do Pré-Sal brasileiro, este processo afeta predominantemente rochas do embasamento ígneo-metamórfico e corpos ígneos intrusivos que seccionam a sequência carbonática. Sua ocorrência é um indicador de sistemas de fluxo de fluidos que podem impactar a qualidade de reservatórios fraturados no embasamento e o histórico termal da bacia."
